  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      67	   1.995	   4.000	849.7787	83.941155	224.53690	34.09214	38.444576	851.6336	229.845378	34.76934	-178.81627	-74.15056	68.073776	-229.845378	849.778675	-5.23254	-189.89187	-75.40690	    8.11	  -27.37	  101.19	   -0.87	   -3.73	  -12.57	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      68	   1.995	  -4.000	852.1077	77.624144	-117.84345	34.46466	39.503725	854.0010	-122.971180	-6.58602	-179.03559	26.03184	69.214711	122.971180	852.107749	14.33287	-190.29682	26.27709	    8.24	   14.64	  101.47	    2.39	   -3.74	    4.38	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      69	   1.995	   5.995	214.1019	32.210615	43.43323	-2.99657	20.026862	214.9295	46.559828	12.42886	-56.72894	-13.90418	27.498216	-46.559828	214.101850	 4.36132	-61.20290	-14.34563	    3.28	   -5.54	   25.50	    0.73	   -1.20	   -2.39	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      70	   1.995	  -2.005	207.0502	24.255989	-5.54107	21.45440	16.823540	207.7619	-6.386313	 1.53149	-30.48608	 0.69904	24.047275	6.386313	207.050206	 2.59398	-34.39858	 0.64611	    2.86	    0.76	   24.66	    0.43	   -0.68	    0.11	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      71	   1.995	  10.000	223.0199	40.785413	83.41936	-26.05201	17.899408	223.7788	89.234342	19.51177	-81.99671	-23.18148	25.680172	-89.234342	223.019884	 4.17338	-86.17487	-23.87533	    3.06	  -10.63	   26.56	    0.70	   -1.69	   -3.98	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      72	   1.995	  -9.995	222.4178	36.464624	-51.42486	-18.03780	19.225192	223.2225	-56.973259	-10.97893	-73.84343	 9.33472	26.985783	56.973259	222.417779	-1.37730	-78.23402	 9.72288	    3.21	    6.78	   26.49	   -0.23	   -1.54	    1.62	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      73	   1.995	   3.995	207.9141	25.880737	56.64884	18.18252	14.618663	208.5496	58.314288	 8.35232	-33.95486	-19.09900	21.871159	-58.314288	207.914100	-1.80629	-37.51330	-19.40157	    2.61	   -6.94	   24.76	   -0.30	   -0.74	   -3.23	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      74	   1.995	  -3.990	208.5321	24.375152	-28.68405	21.71731	15.045884	209.1828	-30.310603	-0.51444	-30.57838	 6.65868	22.320168	30.310603	208.532066	 4.64953	-34.20987	 6.68064	    2.66	    3.61	   24.83	    0.78	   -0.67	    1.11	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      75	   1.995	  -6.000	217.0267	30.731005	-15.13772	-2.97901	21.406244	217.9041	-18.267062	-3.65808	-57.45504	 1.64101	28.980334	18.267062	217.026659	-0.62661	-62.17014	 1.76946	    3.45	    2.18	   25.84	   -0.10	   -1.22	    0.29	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      76	   1.995	   0.000	205.9723	24.156830	15.35568	23.22031	16.970558	206.6885	15.355682	 3.94197	-28.45183	-5.70783	24.156830	-15.355682	205.972334	 1.24223	-32.38214	-5.84863	    2.88	   -1.83	   24.53	    0.21	   -0.64	   -0.98	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      77	   1.995	   2.000	208.1108	24.245043	33.75316	23.04609	15.792244	208.7873	34.578734	 6.31598	-29.15074	-12.49554	23.052306	-34.578734	208.110840	 0.25059	-32.90135	-12.72316	    2.75	   -4.12	   24.78	    0.04	   -0.65	   -2.12	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
